"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"455";"23/10/2023";"36"
"456";"19/10/2023";"60"
"457";"11/10/2023";"60"
"458";"04/10/2023";"60"
"459";"26/09/2023";"84"
"460";"02/08/2023";"36"
"461";"19/07/2023";"24"
"462";"27/06/2023";"12"
"463";"07/06/2023";"24"
"464";"26/05/2023";"24"
"465";"24/05/2023";"24"
"466";"24/02/2023";"36"
"467";"23/02/2023";"72"
"468";"15/02/2023";"24"
"469";"14/02/2023";"15"
"470";"07/02/2023";"24"
"471";"30/01/2023";"48"
"472";"05/12/2025";"24"
"473";"29/10/2025";"24"
"474";"21/10/2025";"36"
"475";"10/10/2025";"48"
"476";"07/10/2025";"48"
"477";"12/09/2025";"12"
"478";"11/09/2025";"24"
"479";"04/09/2025";"36"
"480";"03/09/2025";"24"
"481";"01/09/2025";"36"
"482";"28/08/2025";"12"
"483";"25/08/2025";"72"
"484";"22/07/2025";"24"
"485";"18/07/2025";"12"
"486";"16/07/2025";"24"
"487";"20/06/2025";"24"
"488";"10/06/2025";"60"
"489";"05/06/2025";"48"
"490";"21/05/2025";"24"
"491";"08/04/2025";"24"
"492";"18/03/2025";"12"
"493";"14/03/2025";"24"
"494";"05/02/2025";"24"
"495";"04/02/2025";"36"
"496";"24/01/2025";"12"
"497";"08/01/2025";"36"
"498";"30/12/2024";"48"
"499";"19/12/2024";"36"
"500";"12/12/2024";"24"
"501";"11/12/2024";"12"
"502";"19/11/2024";"60"
"503";"14/11/2024";"24"
"504";"22/10/2024";"24"
"505";"07/10/2024";"72"
"506";"26/09/2024";"36"
"507";"06/09/2024";"24"
"508";"03/09/2024";"36"
"509";"22/08/2024";"36"
"510";"15/08/2024";"24"
"511";"08/07/2024";"36"
"512";"26/06/2024";"24"
"513";"19/06/2024";"24"
"514";"12/06/2024";"36"
"515";"03/06/2024";"48"
"516";"31/05/2024";"36"
"517";"03/05/2024";"24"
"518";"02/04/2024";"24"
